,accession,duf_number
0,PF01345,DUF11
1,PF01629,DUF22
2,PF01724,DUF29
3,PF01784,DUF34
4,PF01904,DUF72
5,PF01940,DUF92
6,PF01970,DUF112
7,PF01976,DUF116
8,PF01986,DUF123
9,PF01998,DUF131
10,PF01519,DUF16
11,PF01882,DUF58
12,PF01827,DUF38
13,PF03804,DUF325
14,PF02582,DUF155
15,PF02594,DUF167
16,PF02596,DUF169
17,PF02643,DUF192
18,PF02656,DUF202
19,PF02680,DUF211
20,PF02681,DUF212
21,PF02698,DUF218
22,PF02713,DUF220
23,PF02720,DUF222
24,PF03103,DUF243
25,PF03140,DUF247
26,PF02890,DUF226
27,PF02989,DUF228
28,PF02995,DUF229
29,PF03008,DUF234
30,PF03057,DUF236
31,PF03072,DUF237
32,PF03086,DUF240
33,PF03112,DUF244
34,PF03196,DUF261
35,PF03268,DUF267
36,PF03269,DUF268
37,PF03312,DUF272
38,PF03314,DUF273
39,PF03380,DUF282
40,PF03382,DUF285
41,PF03384,DUF287
42,PF03434,DUF276
43,PF03436,DUF281
44,PF03625,DUF302
45,PF03713,DUF305
46,PF03724,DUF306
47,PF04087,DUF389
48,PF04175,DUF406
49,PF03564,DUF1759
50,PF03729,DUF308
51,PF03192,DUF257
52,PF03745,DUF309
53,PF03752,DUF312
54,PF03771,DUF317
55,PF03773,DUF318
56,PF03778,DUF321
57,PF03885,DUF327
58,PF03891,DUF333
59,PF03904,DUF334
60,PF04260,DUF436
61,PF06486,DUF1093
62,PF07248,DUF1431
63,PF04241,DUF423
64,PF04642,DUF601
65,PF04645,DUF603
66,PF04646,DUF604
67,PF04654,DUF599
68,PF04746,DUF575
69,PF04747,DUF612
70,PF04763,DUF562
71,PF04764,DUF613
72,PF04780,DUF629
73,PF04781,DUF627
74,PF04782,DUF632
75,PF04783,DUF630
76,PF04784,DUF547
77,PF04788,DUF620
78,PF04789,DUF621
79,PF04819,DUF716
80,PF04830,DUF637
81,PF04842,DUF639
82,PF04854,DUF624
83,PF04859,DUF641
84,PF04862,DUF642
85,PF04867,DUF643
86,PF04875,DUF645
87,PF04890,DUF648
88,PF04919,DUF655
89,PF04936,DUF658
90,PF04937,DUF659
91,PF03984,DUF346
92,PF03988,DUF347
93,PF03990,DUF348
94,PF03993,DUF349
95,PF03994,DUF350
96,PF04007,DUF354
97,PF04009,DUF356
98,PF04015,DUF362
99,PF04017,DUF366
100,PF04027,DUF371
101,PF04028,DUF374
102,PF04033,DUF365
103,PF04037,DUF382
104,PF04070,DUF378
105,PF04123,DUF373
106,PF04149,DUF397
107,PF04165,DUF401
108,PF04167,DUF402
109,PF04168,DUF403
110,PF04214,DUF411
111,PF04219,DUF413
112,PF04222,DUF416
113,PF04235,DUF418
114,PF04238,DUF420
115,PF04242,DUF424
116,PF04248,DUF427
117,PF04250,DUF429
118,PF04254,DUF432
119,PF04256,DUF434
120,PF04282,DUF438
121,PF04286,DUF445
122,PF04289,DUF447
123,PF04304,DUF454
124,PF04305,DUF455
125,PF04306,DUF456
126,PF04311,DUF459
127,PF04312,DUF460
128,PF04318,DUF468
129,PF04322,DUF473
130,PF04325,DUF465
131,PF04332,DUF475
132,PF04334,DUF478
133,PF04337,DUF480
134,PF04338,DUF481
135,PF04340,DUF484
136,PF04341,DUF485
137,PF04342,DUF486
138,PF04343,DUF488
139,PF04363,DUF496
140,PF04368,DUF507
141,PF04370,DUF508
142,PF04385,DUF529
143,PF04393,DUF535
144,PF04398,DUF538
145,PF04402,DUF541
146,PF04407,DUF531
147,PF04409,DUF530
148,PF04415,DUF515
149,PF04417,DUF501
150,PF04448,DUF551
151,PF04456,DUF503
152,PF04458,DUF505
153,PF04459,DUF512
154,PF04465,DUF499
155,PF04467,DUF483
156,PF04474,DUF554
157,PF04480,DUF559
158,PF04510,DUF577
159,PF04569,DUF591
160,PF04578,DUF594
161,PF04591,DUF596
162,PF04601,DUF569
163,PF05003,DUF668
164,PF05037,DUF669
165,PF05055,DUF677
166,PF05056,DUF674
167,PF05057,DUF676
