accession,domain_number,subaccession,domain_begin,domain_end
PF10604,Polyketide_cyc2,Q3J990,1,143
PF10604,Polyketide_cyc2,A1SKR5,1,142
PF10604,Polyketide_cyc2,Q5YX22,4,164
PF10604,Polyketide_cyc2,I6Y1P2,8,146
PF10604,Polyketide_cyc2,B2HKV8,4,144
PF10604,Polyketide_cyc2,Q73VX4,5,151
PF10604,Polyketide_cyc2,B2JM25,28,176
PF10604,Polyketide_cyc2,Q63HZ4,223,366
PF10604,Polyketide_cyc2,Q9I1Z3,226,369
PF10604,Polyketide_cyc2,Q0K267,31,183
PF10604,Polyketide_cyc2,Q2HCI9,1,148
PF10604,Polyketide_cyc2,A5DMW0,24,166
PF10604,Polyketide_cyc2,A0K1J1,1,146
PF10604,Polyketide_cyc2,A0A6N4ST70,3,146
PF10604,Polyketide_cyc2,Q741S8,9,155
PF10604,Polyketide_cyc2,A4X2T1,26,168
PF10604,Polyketide_cyc2,Q5UXI5,31,185
PF10604,Polyketide_cyc2,Q5YPI1,27,171
PF10604,Polyketide_cyc2,Q63HZ5,5,142
PF10604,Polyketide_cyc2,Q73ZF7,5,148
PF10604,Polyketide_cyc2,Q9CBH1,5,148
PF10604,Polyketide_cyc2,O53961,6,148
PF10604,Polyketide_cyc2,A0R5I8,18,158
PF10604,Polyketide_cyc2,A0QWN2,19,162
PF10604,Polyketide_cyc2,Q741M9,18,154
PF10604,Polyketide_cyc2,A2TZD7,27,163
PF10604,Polyketide_cyc2,Q7VYV2,2,146
PF10604,Polyketide_cyc2,Q89PV1,1,144
PF10604,Polyketide_cyc2,Q28W93,2,141
PF10604,Polyketide_cyc2,A2SEB2,25,164
PF10604,Polyketide_cyc2,A2SEB1,26,165
PF10604,Polyketide_cyc2,Q0BS97,21,157
PF10604,Polyketide_cyc2,A5G0H7,31,180
PF10604,Polyketide_cyc2,Q0BQH7,46,194
PF10604,Polyketide_cyc2,Q605A3,26,173
PF10604,Polyketide_cyc2,Q0BVQ1,76,225
PF10604,Polyketide_cyc2,Q0BVB1,28,176
PF10604,Polyketide_cyc2,H8GI42,30,175
PF10604,Polyketide_cyc2,A1AXZ7,26,180
PF10604,Polyketide_cyc2,Q16BS9,27,177
PF10604,Polyketide_cyc2,A4YV39,37,186
PF10604,Polyketide_cyc2,A7IB96,27,175
PF10604,Polyketide_cyc2,Q89L41,36,185
PF10604,Polyketide_cyc2,A1K734,31,174
PF10604,Polyketide_cyc2,A2SII5,28,168
PF10604,Polyketide_cyc2,A0A6H3AK16,1,134
PF10604,Polyketide_cyc2,Q6L4Q2,19,168
PF10604,Polyketide_cyc2,Q8S2Q8,27,182
PF10604,Polyketide_cyc2,C7IXR7,65,215
PF10604,Polyketide_cyc2,Q9M073,3,154
PF10604,Polyketide_cyc2,A5BHR2,8,160
PF10604,Polyketide_cyc2,O82320,9,156
PF10604,Polyketide_cyc2,PYL9,49,197
PF10604,Polyketide_cyc2,PYL7,35,180
PF10604,Polyketide_cyc2,PYL9,33,178
PF10604,Polyketide_cyc2,Q18HR5,2,145
PF10604,Polyketide_cyc2,A0A1U7ETN1,2,135
PF10604,Polyketide_cyc2,A0K026,12,154
PF10604,Polyketide_cyc2,Q5YY01,1,143
PF10604,Polyketide_cyc2,Q73ZV6,1,143
PF10604,Polyketide_cyc2,Q5YX97,1,143
PF10604,Polyketide_cyc2,Y1546,1,141
PF10604,Polyketide_cyc2,Q740T6,1,141
PF10604,Polyketide_cyc2,A0R3Y0,1,143
PF10604,Polyketide_cyc2,Y910,1,141
PF10604,Polyketide_cyc2,Q8ELD3,2,151
PF10604,Polyketide_cyc2,A0K021,1,141
PF10604,Polyketide_cyc2,Q1AX86,4,141
PF10604,Polyketide_cyc2,Q28W84,28,175
PF10604,Polyketide_cyc2,I6XI16,4,144
PF10604,Polyketide_cyc2,Q7APW4,5,144
PF10604,Polyketide_cyc2,Q2JGI4,3,147
PF10604,Polyketide_cyc2,A6W6X7,3,146
PF10604,Polyketide_cyc2,Q82LV6,3,146
PF10604,Polyketide_cyc2,Q9ZBJ2,3,146
PF10604,Polyketide_cyc2,Q18DY0,3,144
PF10604,Polyketide_cyc2,A0K0Q5,3,147
PF10604,Polyketide_cyc2,Q2IPF7,1,141
PF10604,Polyketide_cyc2,A9WBI9,6,138
PF10604,Polyketide_cyc2,Q2JPY1,1,142
PF10604,Polyketide_cyc2,Q8Z0R5,2,144
PF10604,Polyketide_cyc2,B1X057,7,145
PF10604,Polyketide_cyc2,Q5Z374,2,143
PF05285,SDA1_dom,V5FQP9,733,858
PF05285,SDA1_dom,D4B098,455,582
PF05285,SDA1_dom,C4JY86,498,629
PF05285,SDA1_dom,C1GHV3,548,678
PF05285,SDA1_dom,C6HP05,547,678
PF05285,SDA1_dom,H6C5Q5,550,693
PF05285,SDA1_dom,B8M2T8,547,671
PF05285,SDA1_dom,R7YK65,547,673
PF05285,SDA1_dom,M2TB74,547,678
PF05285,SDA1_dom,E5A751,547,675
PF05285,SDA1_dom,G2XS63,546,681
PF05285,SDA1_dom,L8FMF2,546,679
PF05285,SDA1_dom,K1X5S9,1073,1198
PF05285,SDA1_dom,S3E3D4,551,679
PF05285,SDA1_dom,N1J754,550,678
PF05285,SDA1_dom,S8BUT3,534,667
PF05285,SDA1_dom,G1XJN9,539,665
