domain_number,accession,len_pfam,len_chainsaw,len_overlap,percent_overlap_pfam,percent_overlap_chainsaw
DUF3649,A9BQW4,26,94,26,100.0,27.66
DUF3649,Q6N8Q6,26,88,24,92.31,27.27
DUF3649,B6JDF3,26,87,25,96.15,28.74
DUF3649,H8L2M1,25,112,25,100.0,22.32
DUF3649,Q0BS46,26,84,26,100.0,30.95
DUF3649,F6ABX4,26,90,26,100.0,28.89
DUF3649,Q8P4V9,26,93,26,100.0,27.96
DUF3649,B3PCI0,26,100,26,100.0,26.0
DUF3649,Q9I5D8,26,91,26,100.0,28.57
DUF3649,Q2L2C3,26,90,26,100.0,28.89
DUF3649,Q7VZ07,26,93,26,100.0,27.96
DUF3649,Q887S6,25,91,25,100.0,27.47
DUF3649,Q8PDT3,27,86,27,100.0,31.4
DUF3649,A9BZK9,26,88,26,100.0,29.55
DUF3649,B6IQP3,26,82,24,92.31,29.27
DUF3649,Q0K501,26,89,26,100.0,29.21
DUF3649,Q0VP95,26,93,26,100.0,27.96
DUF3649,Q8EBU3,26,102,26,100.0,25.49
DUF3649,Q82VJ8,25,89,25,100.0,28.09
DUF6766,A0A0N0T976,221,198,197,89.14,99.49
DUF6766,A0A1B1MNQ7,221,200,199,90.05,99.5
DUF6766,A0A1Q5L5C1,221,199,197,89.14,98.99
DUF6766,A0A1Q5LE76,221,201,197,89.14,98.01
DUF6766,A0A170YWQ0,221,198,197,89.14,99.49
DUF6766,A0A197STQ5,221,196,196,88.69,100.0
DUF6766,A0A2P2GJL2,221,196,196,88.69,100.0
DUF6766,F2RHN8,221,195,195,88.24,100.0
DUF6766,A0A542PXY9,221,200,199,90.05,99.5
DUF6766,A0A1Z1WPT8,221,201,199,90.05,99.0
DUF6766,A0A6G4U5N7,221,203,199,90.05,98.03
DUF6766,A0A3S8WJ91,221,197,197,89.14,100.0
DUF6766,A0A1D8GAR1,221,201,199,90.05,99.0
DUF6766,A0A4Y3V8B9,221,200,199,90.05,99.5
DUF6766,A0A0F5W693,221,201,197,89.14,98.01
DUF6766,A0A0W7X1A5,221,202,197,89.14,97.52
DUF6766,A0A4S2TDP3,221,200,199,90.05,99.5
DUF6766,A0A2B8AE70,221,195,195,88.24,100.0
DUF6766,L1KPR3,221,200,197,89.14,98.5
DUF6766,A0A3A3YMJ5,222,199,198,89.19,99.5
DUF6766,A0A3B0FR40,221,198,197,89.14,99.49
DUF6766,A0A0A1D5S5,221,198,197,89.14,99.49
DUF6766,A0A2S3ZT48,221,198,197,89.14,99.49
DUF6766,A0A3D9UZM7,222,201,199,89.64,99.0
DUF6766,A0A511FGC6,221,198,198,89.59,100.0
DUF6766,F6FRS4,221,195,195,88.24,100.0
DUF6766,F4H0W8,221,198,197,89.14,99.49
DUF6766,A0A168FFX2,221,202,197,89.14,97.52
DUF6766,D1BRI0,221,205,197,89.14,96.1
DUF6766,A0A164PEG7,221,200,197,89.14,98.5
DUF6766,A0A1H1D121,221,195,195,88.24,100.0
DUF6766,A0A1H4Q2U9,221,195,195,88.24,100.0
DUF6766,A0A3M8LM33,221,191,191,86.43,100.0
DUF6766,I0HCS0,221,198,197,89.14,99.49
DUF6766,A0A0A6UQR8,220,197,196,89.09,99.49
DUF6766,A0A239N040,221,198,197,89.14,99.49
DUF6766,A0A4Q7ZRB0,220,197,196,89.09,99.49
DUF6766,A0A561VC84,221,198,197,89.14,99.49
DUF6766,A0A1K0GPL2,221,198,197,89.14,99.49
DUF6766,A0A428YQF6,221,198,197,89.14,99.49
DUF6766,A0A239JV01,221,196,196,88.69,100.0
DUF6766,A0A285IQH3,221,198,197,89.14,99.49
DUF6766,A1SGD8,220,201,196,89.09,97.51
DUF6766,A0A5C4WPT7,221,200,199,90.05,99.5
DUF6766,A0A316TMC5,221,198,197,89.14,99.49
DUF6766,A0A0Q7ZBH5,221,198,197,89.14,99.49
DUF6766,A0A0Q6VRW1,219,198,197,89.95,99.49
DUF6766,A0A5B1LWX0,221,200,199,90.05,99.5
DUF6766,A0A1I1DSR1,221,198,197,89.14,99.49
DUF6766,A0A1J4N1I2,221,198,197,89.14,99.49
DUF6766,A0A1M7PC41,223,199,199,89.24,100.0
DUF6766,A0A4R7W314,221,200,199,90.05,99.5
DUF6766,A0A1G9CCG9,221,198,197,89.14,99.49
DUF6766,A0A344LGU0,221,198,197,89.14,99.49
DUF6766,A0A4Q7JAE8,221,198,197,89.14,99.49
DUF6766,R4SQK2,221,199,197,89.14,98.99
DUF6766,A0A0H3DBC6,221,199,197,89.14,98.99
DUF6766,A0A1H3RL22,221,200,199,90.05,99.5
DUF6766,A0A1G6MAG9,221,199,198,89.59,99.5
DUF6766,A0A318M112,221,198,197,89.14,99.49
DUF6766,K0K362,221,198,197,89.14,99.49
DUF6766,A4FL21,222,202,200,90.09,99.01
DUF6766,A0A1B2HK41,218,197,196,89.91,99.49
DUF6766,A0A563F1Z1,221,200,199,90.05,99.5
DUF6766,A0A1V2PXE9,221,196,196,88.69,100.0
DUF6766,A0A1W1ZJI8,221,201,199,90.05,99.0
DUF6766,A0A1H0URC2,221,200,199,90.05,99.5
DUF6766,A0A263DGR2,221,196,196,88.69,100.0
DUF6766,A0A1Q9S3J9,221,201,199,90.05,99.0
DUF6766,A0A366ZTW2,221,197,197,89.14,100.0
DUF6766,A0A366ZNM0,221,197,197,89.14,100.0
DUF6766,A0A4Y9QG35,221,197,197,89.14,100.0
DUF6766,I4F3A7,221,200,199,90.05,99.5
DUF6766,A0A4Y9QD02,221,200,199,90.05,99.5
DUF6766,A0A1H1N9K5,221,200,199,90.05,99.5
DUF6766,A0A3D9SUH6,221,198,197,89.14,99.49
DUF6766,A0A4R4L3U2,221,198,197,89.14,99.49
