accession,domain_number,subaccession,domain_begin,domain_end
PF12365,DUF3649,A9BQW4,74,100
PF12365,DUF3649,Q6N8Q6,65,91
PF12365,DUF3649,B6JDF3,65,91
PF12365,DUF3649,H8L2M1,84,109
PF12365,DUF3649,Q0BS46,60,86
PF12365,DUF3649,F6ABX4,65,91
PF12365,DUF3649,Q8P4V9,72,98
PF12365,DUF3649,B3PCI0,72,98
PF12365,DUF3649,Q9I5D8,143,169
PF12365,DUF3649,Q2L2C3,69,95
PF12365,DUF3649,Q7VZ07,69,95
PF12365,DUF3649,Q887S6,83,108
PF12365,DUF3649,Q8PDT3,71,98
PF12365,DUF3649,A9BZK9,77,103
PF12365,DUF3649,B6IQP3,80,106
PF12365,DUF3649,Q0K501,67,93
PF12365,DUF3649,Q0VP95,66,92
PF12365,DUF3649,Q8EBU3,93,119
PF12365,DUF3649,Q82VJ8,615,640
PF20554,DUF6766,A0A0N0T976,14,235
PF20554,DUF6766,A0A1B1MNQ7,45,266
PF20554,DUF6766,A0A1Q5L5C1,4,225
PF20554,DUF6766,A0A1Q5LE76,18,239
PF20554,DUF6766,A0A170YWQ0,1,222
PF20554,DUF6766,A0A197STQ5,11,232
PF20554,DUF6766,A0A2P2GJL2,8,229
PF20554,DUF6766,F2RHN8,8,229
PF20554,DUF6766,A0A542PXY9,1,222
PF20554,DUF6766,A0A1Z1WPT8,5,226
PF20554,DUF6766,A0A6G4U5N7,4,225
PF20554,DUF6766,A0A3S8WJ91,4,225
PF20554,DUF6766,A0A1D8GAR1,4,225
PF20554,DUF6766,A0A4Y3V8B9,1,222
PF20554,DUF6766,A0A0F5W693,5,226
PF20554,DUF6766,A0A0W7X1A5,7,228
PF20554,DUF6766,A0A4S2TDP3,1,222
PF20554,DUF6766,A0A2B8AE70,4,225
PF20554,DUF6766,L1KPR3,5,226
PF20554,DUF6766,A0A3A3YMJ5,1,223
PF20554,DUF6766,A0A3B0FR40,1,222
PF20554,DUF6766,A0A0A1D5S5,1,222
PF20554,DUF6766,A0A2S3ZT48,1,222
PF20554,DUF6766,A0A3D9UZM7,2,224
PF20554,DUF6766,A0A511FGC6,5,226
PF20554,DUF6766,F6FRS4,8,229
PF20554,DUF6766,F4H0W8,5,226
PF20554,DUF6766,A0A168FFX2,6,227
PF20554,DUF6766,D1BRI0,10,231
PF20554,DUF6766,A0A164PEG7,5,226
PF20554,DUF6766,A0A1H1D121,2,223
PF20554,DUF6766,A0A1H4Q2U9,1,222
PF20554,DUF6766,A0A3M8LM33,1,222
PF20554,DUF6766,I0HCS0,1,222
PF20554,DUF6766,A0A0A6UQR8,1,221
PF20554,DUF6766,A0A239N040,1,222
PF20554,DUF6766,A0A4Q7ZRB0,1,221
PF20554,DUF6766,A0A561VC84,1,222
PF20554,DUF6766,A0A1K0GPL2,1,222
PF20554,DUF6766,A0A428YQF6,1,222
PF20554,DUF6766,A0A239JV01,1,222
PF20554,DUF6766,A0A285IQH3,1,222
PF20554,DUF6766,A1SGD8,5,225
PF20554,DUF6766,A0A5C4WPT7,1,222
PF20554,DUF6766,A0A316TMC5,1,222
PF20554,DUF6766,A0A0Q7ZBH5,1,222
PF20554,DUF6766,A0A0Q6VRW1,1,220
PF20554,DUF6766,A0A5B1LWX0,1,222
PF20554,DUF6766,A0A1I1DSR1,1,222
PF20554,DUF6766,A0A1J4N1I2,1,222
PF20554,DUF6766,A0A1M7PC41,1,224
PF20554,DUF6766,A0A4R7W314,1,222
PF20554,DUF6766,A0A1G9CCG9,1,222
PF20554,DUF6766,A0A344LGU0,1,222
PF20554,DUF6766,A0A4Q7JAE8,1,222
PF20554,DUF6766,R4SQK2,2,223
PF20554,DUF6766,A0A0H3DBC6,4,225
PF20554,DUF6766,A0A1H3RL22,1,222
PF20554,DUF6766,A0A1G6MAG9,1,222
PF20554,DUF6766,A0A318M112,1,222
PF20554,DUF6766,K0K362,1,222
PF20554,DUF6766,A4FL21,4,226
PF20554,DUF6766,A0A1B2HK41,1,219
PF20554,DUF6766,A0A563F1Z1,1,222
PF20554,DUF6766,A0A1V2PXE9,1,222
PF20554,DUF6766,A0A1W1ZJI8,4,225
PF20554,DUF6766,A0A1H0URC2,1,222
PF20554,DUF6766,A0A263DGR2,1,222
PF20554,DUF6766,A0A1Q9S3J9,4,225
PF20554,DUF6766,A0A366ZTW2,4,225
PF20554,DUF6766,A0A366ZNM0,8,229
PF20554,DUF6766,A0A4Y9QG35,5,226
PF20554,DUF6766,I4F3A7,1,222
PF20554,DUF6766,A0A4Y9QD02,1,222
PF20554,DUF6766,A0A1H1N9K5,1,222
PF20554,DUF6766,A0A3D9SUH6,1,222
PF20554,DUF6766,A0A4R4L3U2,1,222
PF20554,DUF6766,A0A1X9LU55,1,222
PF20554,DUF6766,A0A1H3U1D6,1,222
PF20554,DUF6766,M7NDL4,1,222
PF20554,DUF6766,A0A0Q8C9U3,1,222
PF20554,DUF6766,A0A5A7NSP9,1,224
PF20554,DUF6766,A0A4S4FIW6,1,221
PF20554,DUF6766,A0A1B9NDU0,1,222
PF20554,DUF6766,A0A6I6E7M0,1,222
PF20554,DUF6766,A0A0Q7U2B9,1,221
PF20554,DUF6766,A0A4Y9FXF3,1,222
PF20554,DUF6766,A0A3S9WCX7,1,222
PF20554,DUF6766,A0A2S5X3D6,1,222
PF20554,DUF6766,A0A519GZ15,1,222
PF20554,DUF6766,A0A511AEG9,1,222
PF20554,DUF6766,A0A0F2CFN0,1,222
PF20554,DUF6766,A0A1R4ET85,4,225
PF20554,DUF6766,A0A6I2FAX5,1,222
PF20554,DUF6766,A0A4P6EHX9,1,222
PF20554,DUF6766,A0A0M2HFZ6,1,222
PF20554,DUF6766,A0A062VRK3,1,222
PF20554,DUF6766,A0A1J6Y787,1,222
PF20554,DUF6766,A0A0M2HQS3,1,222
PF20554,DUF6766,A0A543FL93,1,221
PF20554,DUF6766,E6S881,6,227
PF20554,DUF6766,A0A1H9VQH3,11,232
PF20554,DUF6766,A0A543HHW4,1,221
PF20554,DUF6766,A0A1V1W1E1,15,236
PF20554,DUF6766,A0A8H9KSG7,1,221
PF20554,DUF6766,A0A2T0U4T7,11,232
PF20554,DUF6766,A0A542X9R3,4,225
PF20554,DUF6766,A0A0K1JLH0,4,225
PF20554,DUF6766,A0A401Z7B8,1,226
PF20554,DUF6766,L7U5Z4,4,176
PF20554,DUF6766,A0A085EZC7,1,220
PF20554,DUF6766,A0A0F5LFG9,4,223
PF20554,DUF6766,A0A0Q8ICQ4,4,223
PF20554,DUF6766,A0A0Q8IMH2,4,223
PF20554,DUF6766,A0A126P3Z4,5,220
PF20554,DUF6766,A0A085EZK3,8,223
PF20554,DUF6766,A0A6I2LYT9,1,206
PF20554,DUF6766,A0A1W6D0T6,1,206
PF20554,DUF6766,A0A502BLQ8,1,213
PF20554,DUF6766,A0A4R2GSM2,1,210
PF20554,DUF6766,A0A0Q9HJD2,1,210
PF20554,DUF6766,A0A0Q9ILD5,1,210
PF20554,DUF6766,A0A101K4G3,1,210
PF20554,DUF6766,A0A1I4U691,1,212
PF20554,DUF6766,A0A5B0DVS2,1,212
PF20554,DUF6766,A0A1I4D2C6,1,179
PF20554,DUF6766,A0A1I4D1Z1,1,212
PF20554,DUF6766,A0A328ANF9,1,220
PF20554,DUF6766,A0A558RAR4,1,219
PF20554,DUF6766,A0A512C0N5,1,220
PF20554,DUF6766,A0A9P1K0M3,1,220
PF20554,DUF6766,A0A0B6X001,1,217
PF20554,DUF6766,Q2IFB6,1,217
PF20554,DUF6766,E8U9Q0,1,225
PF20554,DUF6766,A0AAC8TGU7,1,218
PF20554,DUF6766,A0A540X7L4,14,231
PF20554,DUF6766,A0A366HVP4,19,239
PF20554,DUF6766,I0KF22,1,219
PF20554,DUF6766,A0A327X1N9,1,219
PF20554,DUF6766,A0A261Q697,1,219
PF20554,DUF6766,A0A2N1KIR8,3,221
PF20554,DUF6766,A0A5N1IQH5,1,217
PF20554,DUF6766,A0A1W1UXR9,16,233
PF20554,DUF6766,A0A0U4BCF6,10,227
PF20554,DUF6766,A0A1M6AA50,10,227
