domain_number,accession,len_pfam,len_chainsaw,len_overlap,percent_overlap_pfam,percent_overlap_chainsaw
Polyketide_cyc2,Q3J990,142,143,142,100.0,99.3
Polyketide_cyc2,A1SKR5,141,141,141,100.0,100.0
Polyketide_cyc2,Q5YX22,160,163,159,99.38,97.55
Polyketide_cyc2,I6Y1P2,138,146,138,100.0,94.52
Polyketide_cyc2,B2HKV8,140,146,139,99.29,95.21
Polyketide_cyc2,Q73VX4,146,145,145,99.32,100.0
Polyketide_cyc2,B2JM25,148,144,144,97.3,100.0
Polyketide_cyc2,Q63HZ4,143,147,143,100.0,97.28
Polyketide_cyc2,Q9I1Z3,143,155,143,100.0,92.26
Polyketide_cyc2,Q0K267,152,176,152,100.0,86.36
Polyketide_cyc2,Q2HCI9,147,147,147,100.0,100.0
Polyketide_cyc2,A5DMW0,142,141,141,99.3,100.0
Polyketide_cyc2,A0K1J1,145,154,144,99.31,93.51
Polyketide_cyc2,A0A6N4ST70,143,144,143,100.0,99.31
Polyketide_cyc2,Q741S8,146,151,146,100.0,96.69
Polyketide_cyc2,A4X2T1,142,157,142,100.0,90.45
Polyketide_cyc2,Q5UXI5,154,170,154,100.0,90.59
Polyketide_cyc2,Q5YPI1,144,146,144,100.0,98.63
Polyketide_cyc2,Q63HZ5,137,137,135,98.54,98.54
Polyketide_cyc2,Q73ZF7,143,149,143,100.0,95.97
Polyketide_cyc2,Q9CBH1,143,148,143,100.0,96.62
Polyketide_cyc2,O53961,142,147,142,100.0,96.6
Polyketide_cyc2,A0R5I8,140,159,140,100.0,88.05
Polyketide_cyc2,A0QWN2,143,159,143,100.0,89.94
Polyketide_cyc2,Q741M9,136,160,136,100.0,85.0
Polyketide_cyc2,A2TZD7,136,136,134,98.53,98.53
Polyketide_cyc2,Q7VYV2,144,143,142,98.61,99.3
Polyketide_cyc2,Q89PV1,143,141,141,98.6,100.0
Polyketide_cyc2,Q28W93,139,139,138,99.28,99.28
Polyketide_cyc2,A2SEB2,139,137,137,98.56,100.0
Polyketide_cyc2,A2SEB1,139,139,139,100.0,100.0
Polyketide_cyc2,Q0BS97,136,134,134,98.53,100.0
Polyketide_cyc2,A5G0H7,149,148,148,99.33,100.0
Polyketide_cyc2,Q0BQH7,148,148,147,99.32,99.32
Polyketide_cyc2,Q605A3,147,146,146,99.32,100.0
Polyketide_cyc2,Q0BVQ1,149,148,147,98.66,99.32
Polyketide_cyc2,Q0BVB1,148,149,148,100.0,99.33
Polyketide_cyc2,H8GI42,145,149,144,99.31,96.64
Polyketide_cyc2,A1AXZ7,154,152,152,98.7,100.0
Polyketide_cyc2,Q16BS9,150,148,148,98.67,100.0
Polyketide_cyc2,A4YV39,149,150,149,100.0,99.33
Polyketide_cyc2,A7IB96,148,148,148,100.0,100.0
Polyketide_cyc2,Q89L41,149,150,149,100.0,99.33
Polyketide_cyc2,A1K734,143,141,141,98.6,100.0
Polyketide_cyc2,A2SII5,140,138,137,97.86,99.28
Polyketide_cyc2,A0A6H3AK16,133,134,133,100.0,99.25
Polyketide_cyc2,Q6L4Q2,149,150,131,87.92,87.33
Polyketide_cyc2,Q8S2Q8,155,141,139,89.68,98.58
Polyketide_cyc2,C7IXR7,150,148,144,96.0,97.3
Polyketide_cyc2,Q9M073,151,145,145,96.03,100.0
Polyketide_cyc2,A5BHR2,152,152,152,100.0,100.0
Polyketide_cyc2,O82320,147,155,147,100.0,94.84
Polyketide_cyc2,Q18HR5,143,147,143,100.0,97.28
Polyketide_cyc2,A0A1U7ETN1,133,139,133,100.0,95.68
Polyketide_cyc2,A0K026,142,153,142,100.0,92.81
Polyketide_cyc2,Q5YY01,142,142,142,100.0,100.0
Polyketide_cyc2,Q73ZV6,142,138,138,97.18,100.0
Polyketide_cyc2,Q5YX97,142,140,140,98.59,100.0
Polyketide_cyc2,Q740T6,140,140,140,100.0,100.0
Polyketide_cyc2,A0R3Y0,142,141,141,99.3,100.0
Polyketide_cyc2,Q8ELD3,149,148,148,99.33,100.0
Polyketide_cyc2,A0K021,140,143,140,100.0,97.9
Polyketide_cyc2,Q1AX86,137,137,137,100.0,100.0
Polyketide_cyc2,Q28W84,147,174,146,99.32,83.91
Polyketide_cyc2,I6XI16,140,141,139,99.29,98.58
Polyketide_cyc2,Q7APW4,139,140,138,99.28,98.57
Polyketide_cyc2,Q2JGI4,144,141,140,97.22,99.29
Polyketide_cyc2,A6W6X7,143,144,142,99.3,98.61
Polyketide_cyc2,Q82LV6,143,142,141,98.6,99.3
Polyketide_cyc2,Q9ZBJ2,143,143,142,99.3,99.3
Polyketide_cyc2,Q18DY0,141,141,139,98.58,98.58
Polyketide_cyc2,A0K0Q5,144,145,143,99.31,98.62
Polyketide_cyc2,Q2IPF7,140,140,140,100.0,100.0
Polyketide_cyc2,A9WBI9,132,142,132,100.0,92.96
Polyketide_cyc2,Q2JPY1,141,140,140,99.29,100.0
Polyketide_cyc2,Q8Z0R5,142,141,141,99.3,100.0
Polyketide_cyc2,B1X057,138,147,138,100.0,93.88
Polyketide_cyc2,Q5Z374,141,141,141,100.0,100.0
SDA1_dom,V5FQP9,125,178,124,99.2,69.66
SDA1_dom,D4B098,127,169,116,91.34,68.64
SDA1_dom,C4JY86,131,182,129,98.47,70.88
SDA1_dom,C1GHV3,130,184,129,99.23,70.11
SDA1_dom,C6HP05,131,178,124,94.66,69.66
SDA1_dom,H6C5Q5,143,199,143,100.0,71.86
SDA1_dom,B8M2T8,124,177,122,98.39,68.93
SDA1_dom,R7YK65,126,180,126,100.0,70.0
SDA1_dom,M2TB74,131,188,131,100.0,69.68
SDA1_dom,E5A751,128,184,128,100.0,69.57
SDA1_dom,G2XS63,135,184,131,97.04,71.2
SDA1_dom,L8FMF2,133,170,117,87.97,68.82
SDA1_dom,K1X5S9,125,354,115,92.0,32.49
SDA1_dom,S3E3D4,128,177,119,92.97,67.23
SDA1_dom,N1J754,128,168,112,87.5,66.67
SDA1_dom,S8BUT3,133,161,112,84.21,69.57
SDA1_dom,G1XJN9,126,153,105,83.33,68.63
SDA1_dom,S2JEF2,161,172,140,86.96,81.4
SDA1_dom,I1CL39,167,435,163,97.6,37.47
SDA1_dom,F4RZC0,180,485,177,98.33,36.49
SDA1_dom,A8Q307,183,214,162,88.52,75.7
SDA1_dom,R9P1D5,195,223,174,89.23,78.03
SDA1_dom,A0A0D1BUR0,193,497,191,98.96,38.43
SDA1_dom,M9M7L5,189,216,168,88.89,77.78
SDA1_dom,V5EUI1,188,480,180,95.74,37.5
SDA1_dom,G7DUG0,132,155,111,84.09,71.61
SDA1_dom,U5H0D9,209,419,188,89.95,44.87
SDA1_dom,R9AJ95,133,153,112,84.21,73.2
SDA1_dom,I4Y6W4,144,186,143,99.31,76.88
SDA1_dom,K5VW72,146,172,125,85.62,72.67
SDA1_dom,S8FUC0,136,164,115,84.56,70.12
SDA1_dom,F8QI51,127,148,106,83.46,71.62
SDA1_dom,D8PW85,128,153,104,81.25,67.97
SDA1_dom,M2QQQ3,142,168,121,85.21,72.02
SDA1_dom,Q5KB64,161,392,140,86.96,35.71
SDA1_dom,K1V417,148,377,127,85.81,33.69
SDA1_dom,B8C677,161,140,106,65.84,75.71
SDA1_dom,A0A8R1W0D3,154,396,133,86.36,33.59
SDA1_dom,A0A7M7Q0S2,235,442,224,95.32,50.68
SDA1_dom,A0A8R1HVC8,156,85,85,54.49,100.0
SDA1_dom,W1QE58,136,154,114,83.82,74.03
SDA1_dom,G0VG30,122,420,121,99.18,28.81
SDA1_dom,G8BX15,124,228,124,100.0,54.39
SDA1_dom,H2AQT4,126,231,126,100.0,54.55
SDA1_dom,Q6CXU8,138,395,103,74.64,26.08
SDA1_dom,K0KPC2,134,155,114,85.07,73.55
SDA1_dom,G8YDD0,120,138,99,82.5,71.74
SDA1_dom,A5E0U6,134,241,134,100.0,55.6
SDA1_dom,G3AHH0,121,371,88,72.73,23.72
SDA1_dom,N4VPN5,123,170,116,94.31,68.24
SDA1_dom,G0RLH9,129,173,119,92.25,68.79
SDA1_dom,M1W9Q1,140,181,124,88.57,68.51
SDA1_dom,E9DXI6,114,161,104,91.23,64.6
SDA1_dom,C7YW25,119,163,109,91.6,66.87
SDA1_dom,G3JSQ8,134,176,123,91.79,69.89
SDA1_dom,I1RDA0,122,158,106,86.89,67.09
SDA1_dom,M7T6P9,118,157,102,86.44,64.97
SDA1_dom,U7PMW4,142,204,141,99.3,69.12
SDA1_dom,F0X6Y3,155,204,138,89.03,67.65
SDA1_dom,S3C2B5,169,230,166,98.22,72.17
SDA1_dom,G2QND6,124,178,120,96.77,67.42
SDA1_dom,B2B188,124,173,114,91.94,65.9
SDA1_dom,G4N9F9,122,177,121,99.18,68.36
SDA1_dom,J3PFI9,124,167,115,92.74,68.86
SDA1_dom,M3CQY6,141,161,123,87.23,76.4
SDA1_dom,M2MLC8,155,223,155,100.0,69.51
SDA1_dom,M3A2U0,147,184,146,99.32,79.35
SDA1_dom,F9X3K4,155,190,152,98.06,80.0
SDA1_dom,N1PWB7,157,192,154,98.09,80.21
SDA1_dom,K2QQU1,131,167,114,87.02,68.26
SDA1_dom,R1EV86,131,184,130,99.24,70.65
SDA1_dom,A1CNV4,123,168,112,91.06,66.67
SDA1_dom,Q5BF36,126,170,115,91.27,67.65
SDA1_dom,B8MZH1,130,175,120,92.31,68.57
SDA1_dom,S7Z5S8,123,165,112,91.06,67.88
SDA1_dom,K9GA16,125,164,110,88.0,67.07
Knl1_RWD_C,A0A067BYA3,152,199,108,71.05,54.27
Knl1_RWD_C,H3GJY7,166,187,123,74.1,65.78
Knl1_RWD_C,A0A0P7VVR1,142,135,94,66.2,69.63
Knl1_RWD_C,H3C760,131,95,95,72.52,100.0
Knl1_RWD_C,A0A226MLJ9,123,182,123,100.0,67.58
Knl1_RWD_C,G3TPM1,155,117,108,69.68,92.31
Knl1_RWD_C,A0A091FVY8,149,113,106,71.14,93.81
Knl1_RWD_C,A0A0A0B0A4,149,112,106,71.14,94.64
Knl1_RWD_C,A0A091JIB3,211,111,106,50.24,95.5
Knl1_RWD_C,A0A091E8S2,172,113,106,61.63,93.81
Knl1_RWD_C,A0A091VYD7,146,112,106,72.6,94.64
Knl1_RWD_C,H2YFN6,162,136,96,59.26,70.59
Knl1_RWD_C,F7AT91,165,104,99,60.0,95.19
Knl1_RWD_C,D8TNZ6,143,267,143,100.0,53.56
Knl1_RWD_C,M1VIS4,150,359,135,90.0,37.6
Knl1_RWD_C,M2XTZ2,131,207,101,77.1,48.79
Knl1_RWD_C,Q754X4,150,193,110,73.33,56.99
Knl1_RWD_C,V4MX95,153,225,116,75.82,51.56
Knl1_RWD_C,R0I410,154,228,122,79.22,53.51
Knl1_RWD_C,A0A1P8B0S5,155,305,155,100.0,50.82
Knl1_RWD_C,A0A1R3J4A4,154,1012,154,100.0,15.22
Knl1_RWD_C,A0A0D2MUE5,154,209,100,64.94,47.85
Knl1_RWD_C,A0A2K3NKC7,153,205,153,100.0,74.63
Knl1_RWD_C,A0A0S3S876,153,226,105,68.63,46.46
Knl1_RWD_C,A0A0D3GIJ1,157,207,102,64.97,49.28
Knl1_RWD_C,A0A0D9WRZ8,154,212,103,66.88,48.58
Knl1_RWD_C,J3MFP6,153,206,98,64.05,47.57
Knl1_RWD_C,A0A453SFR3,152,107,99,65.13,92.52
Knl1_RWD_C,K3XUZ7,154,614,154,100.0,25.08
Knl1_RWD_C,L2GTV9,133,174,101,75.94,58.05
Knl1_RWD_C,Q6CMN2,150,197,110,73.33,55.84
Knl1_RWD_C,B5RSQ9,144,199,104,72.22,52.26
Knl1_RWD_C,A0A1E4TZZ0,134,194,101,75.37,52.06
Knl1_RWD_C,A0A238FH77,154,225,114,74.03,50.67
Knl1_RWD_C,A0A1Y2ERD0,146,228,113,77.4,49.56
Knl1_RWD_C,A0A0H2SF93,153,220,113,73.86,51.36
Knl1_RWD_C,A0A166AWE7,152,201,95,62.5,47.26
Knl1_RWD_C,A0A0L6WWV3,151,219,111,73.51,50.68
Knl1_RWD_C,A0A0C9YBS8,151,214,111,73.51,51.87
Knl1_RWD_C,A0A0D2Q3C6,151,220,111,73.51,50.45
Knl1_RWD_C,A0A409W3Q1,151,206,97,64.24,47.09
Knl1_RWD_C,A0A286UQM9,154,208,101,65.58,48.56
Knl1_RWD_C,A0A0C9XUD8,150,155,110,73.33,70.97
Knl1_RWD_C,A0A0C3D2Y8,151,213,111,73.51,52.11
Knl1_RWD_C,F8QD76,152,208,100,65.79,48.08
Knl1_RWD_C,W4KQB8,151,208,98,64.9,47.12
Knl1_RWD_C,S7S548,152,209,101,66.45,48.33
Knl1_RWD_C,A0A166J8Y5,152,215,112,73.68,52.09
Knl1_RWD_C,S8EGZ5,152,203,95,62.5,46.8
Knl1_RWD_C,A0A2R6NYU1,128,101,88,68.75,87.13
Knl1_RWD_C,A0A167K5Y7,148,204,100,67.57,49.02
Knl1_RWD_C,A0A1Y1UUJ1,151,214,114,75.5,53.27
Knl1_RWD_C,A0A1E3HN69,160,227,123,76.88,54.19
Knl1_RWD_C,A0A1E3I5K9,156,223,119,76.28,53.36
Knl1_RWD_C,A0A1A5ZV96,158,225,121,76.58,53.78
Knl1_RWD_C,A0A1B9GFG8,159,226,122,76.73,53.98
Knl1_RWD_C,A0A1B9IL92,159,218,114,71.7,52.29
Knl1_RWD_C,A0A1B9GY73,157,222,120,76.43,54.05
Knl1_RWD_C,A0A0M9VP63,145,205,105,72.41,51.22
Knl1_RWD_C,A0A316ZGT3,145,209,105,72.41,50.24
Knl1_RWD_C,A0A316W190,145,226,123,84.83,54.42
Knl1_RWD_C,A0A316UXR1,154,243,117,75.97,48.15
Knl1_RWD_C,A0A316UCY6,145,220,105,72.41,47.73
Knl1_RWD_C,A0A316YMZ5,150,208,110,73.33,52.88
Knl1_RWD_C,A0A1Y1Z644,114,203,74,64.91,36.45
Knl1_RWD_C,A0A139A6U2,143,184,117,81.82,63.59
Knl1_RWD_C,A0A1Y2GJX7,188,210,148,78.72,70.48
Knl1_RWD_C,A0A0M8MZ14,155,219,114,73.55,52.05
Knl1_RWD_C,M7SFR3,155,227,115,74.19,50.66
Knl1_RWD_C,A0A136J1V3,155,230,115,74.19,50.0
Knl1_RWD_C,A0A0D2ALJ7,165,228,125,75.76,54.82
Knl1_RWD_C,N1Q9P3,160,220,120,75.0,54.55
Knl1_RWD_C,A0A1S8B2V2,168,245,128,76.19,52.24
Knl1_RWD_C,R1H2E4,162,229,122,75.31,53.28
Knl1_RWD_C,K2S8P3,161,240,121,75.16,50.42
Knl1_RWD_C,A0A177CSH0,157,224,117,74.52,52.23
Knl1_RWD_C,A0A2V1DA67,157,224,117,74.52,52.23
Knl1_RWD_C,A0A1Y2LKZ2,159,226,119,74.84,52.65
Knl1_RWD_C,U7Q5G6,156,256,116,74.36,45.31
Knl1_RWD_C,M7NN42,136,193,96,70.59,49.74
Knl1_RWD_C,A0A0L0T7U2,188,260,129,68.62,49.62
Knl1_RWD_C,A0A0L0HRB8,186,237,125,67.2,52.74
Knl1_RWD_C,A0A1Y1XAE5,139,202,97,69.78,48.02
Knl1_RWD_C,A0A0C9M0A5,145,211,105,72.41,49.76
